threshold,dir,dpd,best_group,worst_group,best_rate,worst_rate,grouping,score
0.85,0.8112244897959183,0.17452830188679247,White,Black,0.9245283018867925,0.75,race_wb,ndsc_macro
0.9,0.8057432432432433,0.13561320754716977,White,Black,0.6981132075471698,0.5625,race_wb,ndsc_macro
0.7,0.9375,0.0625,White,Black,1.0,0.9375,race_wbo,dice_macro
0.75,0.9375,0.0625,White,Black,1.0,0.9375,race_wbo,dice_macro
0.8,0.9375,0.0625,Other,Black,1.0,0.9375,race_wbo,dice_macro
0.85,0.8125,0.1875,Other,Black,1.0,0.8125,race_wbo,dice_macro
0.9,0.8452830188679245,0.11051212938005395,Other,White,0.7142857142857143,0.6037735849056604,race_wbo,dice_macro
2.0,0.8768382352941176,0.07900943396226412,White,Black,0.6415094339622641,0.5625,race_wbo,hd95_macro
5.0,0.8112244897959183,0.17452830188679247,White,Black,0.9245283018867925,0.75,race_wbo,hd95_macro
10.0,0.9375,0.0625,Other,Black,1.0,0.9375,race_wbo,hd95_macro
0.7,0.9375,0.0625,White,Black,1.0,0.9375,race_wbo,ndsc_macro
0.75,0.9375,0.0625,White,Black,1.0,0.9375,race_wbo,ndsc_macro
0.8,0.9375,0.0625,Other,Black,1.0,0.9375,race_wbo,ndsc_macro
0.85,0.75,0.25,Other,Black,1.0,0.75,race_wbo,ndsc_macro
0.9,0.65625,0.2946428571428571,Other,Black,0.8571428571428571,0.5625,race_wbo,ndsc_macro
0.7,0.9565217391304348,0.04347826086956519,White,Non-White,1.0,0.9565217391304348,race_wn,dice_macro
0.75,0.9565217391304348,0.04347826086956519,White,Non-White,1.0,0.9565217391304348,race_wn,dice_macro
0.8,0.9749163879598662,0.024610336341263306,White,Non-White,0.9811320754716981,0.9565217391304348,race_wn,dice_macro
0.85,0.9601449275362318,0.03609515996718626,White,Non-White,0.9056603773584906,0.8695652173913043,race_wn,dice_macro
0.9,0.9257861635220125,0.048400328137817916,Non-White,White,0.6521739130434783,0.6037735849056604,race_wn,dice_macro
2.0,0.881074168797954,0.07629204265791634,White,Non-White,0.6415094339622641,0.5652173913043478,race_wn,hd95_macro
5.0,0.8464951197870453,0.14191960623461852,White,Non-White,0.9245283018867925,0.782608695652174,race_wn,hd95_macro
10.0,0.9749163879598662,0.024610336341263306,White,Non-White,0.9811320754716981,0.9565217391304348,race_wn,hd95_macro
0.7,0.9565217391304348,0.04347826086956519,White,Non-White,1.0,0.9565217391304348,race_wn,ndsc_macro
0.75,0.9565217391304348,0.04347826086956519,White,Non-White,1.0,0.9565217391304348,race_wn,ndsc_macro
0.8,0.9565217391304348,0.04347826086956519,White,Non-White,1.0,0.9565217391304348,race_wn,ndsc_macro
0.85,0.8935226264418811,0.09844134536505333,White,Non-White,0.9245283018867925,0.8260869565217391,race_wn,ndsc_macro
0.9,0.9341950646298474,0.0459392945036915,White,Non-White,0.6981132075471698,0.6521739130434783,race_wn,ndsc_macro
0.7,0.9523809523809523,0.04761904761904767,60+,<40,1.0,0.9523809523809523,age_3bin,dice_macro
0.75,0.9523809523809523,0.04761904761904767,60+,<40,1.0,0.9523809523809523,age_3bin,dice_macro
0.8,0.9523809523809523,0.04761904761904767,40-60,<40,1.0,0.9523809523809523,age_3bin,dice_macro
0.85,0.9088319088319089,0.08488063660477452,40-60,60+,0.9310344827586207,0.8461538461538461,age_3bin,dice_macro
0.9,0.5701357466063348,0.34798534798534797,<40,60+,0.8095238095238095,0.46153846153846156,age_3bin,dice_macro
2.0,0.8739495798319327,0.08241758241758246,60+,<40,0.6538461538461539,0.5714285714285714,age_3bin,hd95_macro
5.0,0.956043956043956,0.039408866995073955,40-60,<40,0.896551724137931,0.8571428571428571,age_3bin,hd95_macro
10.0,0.9523809523809523,0.04761904761904767,40-60,<40,1.0,0.9523809523809523,age_3bin,hd95_macro
0.7,0.9523809523809523,0.04761904761904767,40-60,<40,1.0,0.9523809523809523,age_3bin,ndsc_macro
0.75,0.9523809523809523,0.04761904761904767,60+,<40,1.0,0.9523809523809523,age_3bin,ndsc_macro
0.8,0.9523809523809523,0.04761904761904767,40-60,<40,1.0,0.9523809523809523,age_3bin,ndsc_macro
0.85,0.9088319088319089,0.08488063660477452,40-60,60+,0.9310344827586207,0.8461538461538461,age_3bin,ndsc_macro
0.9,0.5833333333333334,0.3571428571428571,<40,60+,0.8571428571428571,0.5,age_3bin,ndsc_macro
0.7,0.9722222222222222,0.02777777777777779,>=53,<53,1.0,0.9722222222222222,age_median,dice_macro
0.75,0.9722222222222222,0.02777777777777779,>=53,<53,1.0,0.9722222222222222,age_median,dice_macro
0.8,0.9978070175438597,0.002136752136752129,>=53,<53,0.9743589743589743,0.9722222222222222,age_median,dice_macro
