threshold,dir,dpd,best_group,worst_group,best_rate,worst_rate,grouping,score
0.8,0.9692307692307692,0.03076923076923077,Other,Black,1.0,0.9692307692307692,race_wbo,ndsc_macro
0.85,0.9427168576104747,0.0560897435897435,White,Black,0.9791666666666666,0.9230769230769231,race_wbo,ndsc_macro
0.9,0.9624183006535948,0.033625730994152,Other,White,0.8947368421052632,0.8611111111111112,race_wbo,ndsc_macro
0.7,0.9761904761904762,0.023809523809523836,White,Non-White,1.0,0.9761904761904762,race_wn,dice_macro
0.75,0.9761904761904762,0.023809523809523836,White,Non-White,1.0,0.9761904761904762,race_wn,dice_macro
0.8,0.9830169830169829,0.016865079365079416,White,Non-White,0.9930555555555556,0.9761904761904762,race_wn,dice_macro
0.85,0.9743062692702981,0.024801587301587324,White,Non-White,0.9652777777777778,0.9404761904761905,race_wn,dice_macro
0.9,0.9380630630630631,0.05456349206349209,Non-White,White,0.8809523809523809,0.8263888888888888,race_wn,dice_macro
2.0,0.9803240740740742,0.016865079365079305,Non-White,White,0.8571428571428571,0.8402777777777778,race_wn,hd95_macro
5.0,0.9760166840458812,0.022817460317460236,White,Non-White,0.9513888888888888,0.9285714285714286,race_wn,hd95_macro
10.0,0.9899396378269617,0.009920634920634996,White,Non-White,0.9861111111111112,0.9761904761904762,race_wn,hd95_macro
0.7,0.9880952380952381,0.011904761904761862,White,Non-White,1.0,0.9880952380952381,race_wn,ndsc_macro
0.75,0.9761904761904762,0.023809523809523836,White,Non-White,1.0,0.9761904761904762,race_wn,ndsc_macro
0.8,0.9761904761904762,0.023809523809523836,White,Non-White,1.0,0.9761904761904762,race_wn,ndsc_macro
0.85,0.9483282674772037,0.050595238095238027,White,Non-White,0.9791666666666666,0.9285714285714286,race_wn,ndsc_macro
0.9,0.9774774774774776,0.01984126984126977,Non-White,White,0.8809523809523809,0.8611111111111112,race_wn,ndsc_macro
0.7,0.9777777777777777,0.022222222222222254,60+,<40,1.0,0.9777777777777777,age_3bin,dice_macro
0.75,0.9777777777777777,0.022222222222222254,60+,<40,1.0,0.9777777777777777,age_3bin,dice_macro
0.8,0.9879629629629629,0.011912943871706827,60+,<40,0.9896907216494846,0.9777777777777777,age_3bin,dice_macro
0.85,0.982735063967209,0.01666267082234485,40-60,60+,0.9651162790697675,0.9484536082474226,age_3bin,dice_macro
0.9,0.9162371134020619,0.0744558991981672,<40,60+,0.8888888888888888,0.8144329896907216,age_3bin,dice_macro
2.0,0.9297297297297298,0.0604651162790697,40-60,<40,0.8604651162790697,0.8,age_3bin,hd95_macro
5.0,0.9788617886178862,0.020155038759689936,40-60,<40,0.9534883720930233,0.9333333333333333,age_3bin,hd95_macro
10.0,0.989281045751634,0.010594315245478048,40-60,<40,0.9883720930232558,0.9777777777777777,age_3bin,hd95_macro
0.7,0.9777777777777777,0.022222222222222254,40-60,<40,1.0,0.9777777777777777,age_3bin,ndsc_macro
0.75,0.9777777777777777,0.022222222222222254,60+,<40,1.0,0.9777777777777777,age_3bin,ndsc_macro
0.8,0.9777777777777777,0.022222222222222254,60+,<40,1.0,0.9777777777777777,age_3bin,ndsc_macro
0.85,0.9900937081659973,0.009560723514211888,40-60,<40,0.9651162790697675,0.9555555555555556,age_3bin,ndsc_macro
0.9,0.9052049283379432,0.08636884306987402,<40,60+,0.9111111111111111,0.8247422680412371,age_3bin,ndsc_macro
0.7,0.981651376146789,0.01834862385321101,>=56,<56,1.0,0.981651376146789,age_median,dice_macro
0.75,0.981651376146789,0.01834862385321101,>=56,<56,1.0,0.981651376146789,age_median,dice_macro
0.8,0.9902623531305327,0.009652971679298017,>=56,<56,0.991304347826087,0.981651376146789,age_median,dice_macro
0.85,0.9974979149291077,0.0023932987634622815,>=56,<56,0.9565217391304348,0.9541284403669725,age_median,dice_macro
0.9,0.9780758556891767,0.018907060231352246,<56,>=56,0.8623853211009175,0.8434782608695652,age_median,dice_macro
2.0,0.9296938868198746,0.06174710809732753,>=56,<56,0.8782608695652174,0.8165137614678899,age_median,hd95_macro
5.0,0.9969699520242404,0.002871958516154738,>=56,<56,0.9478260869565217,0.944954128440367,age_median,hd95_macro
10.0,0.9990257367865552,0.0009573195053849126,>=56,<56,0.9826086956521739,0.981651376146789,age_median,hd95_macro
0.7,0.9908256880733946,0.00917431192660545,>=56,<56,1.0,0.9908256880733946,age_median,ndsc_macro
0.75,0.981651376146789,0.01834862385321101,>=56,<56,1.0,0.981651376146789,age_median,ndsc_macro
0.8,0.981651376146789,0.01834862385321101,>=56,<56,1.0,0.981651376146789,age_median,ndsc_macro
0.85,0.9885114472270436,0.011088950937375275,>=56,<56,0.9652173913043478,0.9541284403669725,age_median,ndsc_macro
0.9,0.9673688928731511,0.02903869166334261,<56,>=56,0.8899082568807339,0.8608695652173913,age_median,ndsc_macro
0.7,0.990521327014218,0.009478672985781977,Hispanic,Non-Hispanic,1.0,0.990521327014218,ethnicity,dice_macro
0.75,0.990521327014218,0.009478672985781977,Hispanic,Non-Hispanic,1.0,0.990521327014218,ethnicity,dice_macro
0.8,0.985781990521327,0.014218009478673022,Hispanic,Non-Hispanic,1.0,0.985781990521327,ethnicity,dice_macro
0.85,0.952791461412151,0.04541864139020546,Non-Hispanic,Hispanic,0.9620853080568721,0.9166666666666666,ethnicity,dice_macro
