threshold,dir,dpd,best_group,worst_group,best_rate,worst_rate,grouping,score
0.8,0.9444444444444444,0.05555555555555558,>=53,<53,1.0,0.9444444444444444,age_median,ndsc_macro
0.85,0.9807692307692308,0.017094017094017033,<53,>=53,0.8888888888888888,0.8717948717948718,age_median,ndsc_macro
0.9,0.5274725274725275,0.36752136752136755,<53,>=53,0.7777777777777778,0.41025641025641024,age_median,ndsc_macro
0.7,0.9848484848484849,0.015151515151515138,Hispanic,Non-Hispanic,1.0,0.9848484848484849,ethnicity,dice_macro
0.75,0.9696969696969697,0.030303030303030276,Hispanic,Non-Hispanic,1.0,0.9696969696969697,ethnicity,dice_macro
0.8,0.9545454545454546,0.045454545454545414,Hispanic,Non-Hispanic,1.0,0.9545454545454546,ethnicity,dice_macro
0.85,0.9696969696969697,0.02651515151515149,Hispanic,Non-Hispanic,0.875,0.8484848484848485,ethnicity,dice_macro
0.9,0.8969696969696969,0.06439393939393945,Hispanic,Non-Hispanic,0.625,0.5606060606060606,ethnicity,dice_macro
2.0,0.5892857142857143,0.26136363636363635,Non-Hispanic,Hispanic,0.6363636363636364,0.375,ethnicity,hd95_macro
5.0,0.868421052631579,0.11363636363636365,Non-Hispanic,Hispanic,0.8636363636363636,0.75,ethnicity,hd95_macro
10.0,0.9314516129032258,0.06439393939393945,Non-Hispanic,Hispanic,0.9393939393939394,0.875,ethnicity,hd95_macro
0.7,0.9848484848484849,0.015151515151515138,Hispanic,Non-Hispanic,1.0,0.9848484848484849,ethnicity,ndsc_macro
0.75,0.9848484848484849,0.015151515151515138,Hispanic,Non-Hispanic,1.0,0.9848484848484849,ethnicity,ndsc_macro
0.8,0.9696969696969697,0.030303030303030276,Hispanic,Non-Hispanic,1.0,0.9696969696969697,ethnicity,ndsc_macro
0.85,0.978813559322034,0.018939393939393923,Non-Hispanic,Hispanic,0.8939393939393939,0.875,ethnicity,ndsc_macro
0.9,0.9454545454545455,0.03409090909090906,Hispanic,Non-Hispanic,0.625,0.5909090909090909,ethnicity,ndsc_macro
